nr,name,website,addres
1,Horizont Wohnungsgenossenschaft eG,www.horizont-eg.de,"Märkische Allee 66, 12681 Berlin–Marzahn"
2,Märkische Baugenossenschaft e.G.,www.maerkische-baugenossen.de,"Nordhauser Str. 32, 10589 Berlin–Charlottenburg"
3,Wohnungsbaugenossenschaft Berolina e.G.,www.berolina.info,"Sebastianstr. 24, 10179 Berlin–Mitte"
4,Neues Wohnen Hellersdorf eG,www.neues-wohnen-hellersdorf.de,"Zossener Str. 11, 12629 Berlin–Hellersdorf"
5,Reinickes Hof,www.reinickes-hof.de,"Reinickes Hof 14, 13403 Berlin–Reinickendorf"
6,Selbstbaugenossenschaft Berlin,selbstbaugenossenschaft.de,"Kreuzbergstr. 37/38, 10965 Berlin–Kreuzberg"
7,Vaterländischer Bauverein e.G.,www.vbveg.de,"Hussitenstr. 22 A, 13355 Berlin–Wedding"
8,Baugenossenschaft Freie Scholle zu Berlin,www.freiescholle.berlin,"Schollenhof 7, 13509 Berlin–Reinickendorf"
9,Wohnungsbaugenossenschaft Treptower Park e.G.,www.berliner-genossenschaft.de,"Kiehlufer 45, 12059 Berlin–Neukölln"
10,WoGeHe Wohnungsbaugesellschaft Hellersdorf,www.berlin.de,"Adele-Sandrock-Str. 10, 12627 Berlin–Hellersdorf"
11,Nordlicht Wohnungsgenossenschaft eG,www.nordlicht-eg.de,"Belziger Ring 9, 12689 Berlin–Marzahn"
12,Arbeiter-Baugenossenschaft Paradies,www.abg-paradies.de,"Paradiesstr. 240, 12526 Berlin–Treptow"
13,Baugenossenschaft Ideal,www.bg-ideal.de,"Britzer Damm 55, 12347 Berlin–Neukölln"
14,Baugenossenschaft Steglitz e.G.,www.gbst.de,"Kniephofstr. 58, 12157 Berlin–Steglitz"
15,Beamten-Wohnungsverein zu Berlin eG,www.bwv-berlin.de,"Lutherstr. 11, 12167 Berlin–Steglitz"
16,Beamten-Wohnungsverein zu Köpenick eG,www.bwv-zk.de,"Tirschenreuther Ring 64, 12279 Berlin–Tempelhof"
17,Wohnungsgenossenschaft Mollstraße e. G.,www.mollgenossenschaft.de,"Mollstr. 13, 10178 Berlin–Mitte"
18,Wohnungsgenossenschaft Prinzenallee 58 e.G.,www.nachbarschaftshaus-prinzenallee.de,"Prinzenallee 58, 13359 Berlin–Wedding"
19,Wohnungsbaugenossenschaft GWG Berliner Bär e.G.,berliner-baer-koepenick.de,"Waldowstr. 10, 12459 Berlin–Köpenick"
20,Wohnungsbaugenossenschaft Mendelsohn-Viertel e.G.,www.berlin.de,"Gensinger Str. 96, 10315 Berlin–Lichtenberg"
21,BBG Berliner Baugenossenschaft eG,www.bbg-eg.de,"Pacelliallee 3, 14195 Berlin–Zehlendorf"
22,Wohnungsbau-Verein Neukölln,www.wbv-neukoelln.de,"Spinozastr. 7-9, 12163 Berlin–Steglitz"
23,Studentendorf Berlin-Schlachtensee e.G.,www.studentendorf.berlin,"Wasgenstr. 75, 14129 Berlin–Zehlendorf"
